occupation_id,occupation_name,major_group_code,major_group_name,mean_male_similarity,mean_female_similarity,association_difference,scweat_effect_size,association_direction,p_value,n_permutations,random_seed,adjusted_p_value,significant_raw,significant_fdr
307,radiografer,3,Teknisi dan asisten profesional,0.054000846766374955,-0.016732710711493085,0.07073355747786804,1.2583919343999383,positif,0.00399800099950025,2000,64,0.028785607196401795,True,True
308,asisten apoteker,3,Teknisi dan asisten profesional,0.014859370348022762,0.06886005253088903,-0.05400068218286627,-0.9500819934383439,negatif,0.05647176411794103,2000,65,0.14521310773184837,False,False
401,sekretaris,4,Tenaga tata usaha,-0.054950577006376296,0.03319840883476405,-0.08814898584114034,-1.2822817424034665,negatif,0.00849575212393803,2000,66,0.040779610194902546,True,True
402,staf administrasi,4,Tenaga tata usaha,-0.032171385786496386,0.018241164886964777,-0.05041255067346116,-1.0491003600947058,negatif,0.0239880059970015,2000,67,0.07850620144473217,True,False
403,petugas arsip,4,Tenaga tata usaha,-0.007638717676247384,-0.03341153714266764,0.025772819466420255,0.6745836644378097,positif,0.17341329335332334,2000,68,0.30453066149851904,False,False
404,operator komputer,4,Tenaga tata usaha,-0.011192353524426024,0.007937574529386135,-0.01912992805381216,-0.43006660454308165,negatif,0.4052973513243378,2000,69,0.530571078097315,False,False
405,resepsionis kantor,4,Tenaga tata usaha,-0.0446487835785983,-0.009503207806689559,-0.035145575771908744,-0.7566853480959669,negatif,0.14642678660669664,2000,70,0.2703263752739015,False,False
406,staf keuangan,4,Tenaga tata usaha,-0.04102154170112517,0.02222980396101179,-0.06325134566213697,-1.35769846305974,negatif,0.0029985007496251873,2000,71,0.026986506746626688,True,True
407,petugas entri data,4,Tenaga tata usaha,-0.031299377075646506,0.006717580607510858,-0.03801695768315737,-0.6610806423872917,negatif,0.21239380309845077,2000,72,0.34755349597928303,False,False
408,sekretaris medis,4,Tenaga tata usaha,-0.06012388304890834,0.019467892197329237,-0.07959177524623758,-1.2648525325120508,negatif,0.005497251374312844,2000,73,0.03298350824587706,True,True
501,kasir,5,Tenaga usaha jasa dan penjualan,0.04992789308569859,-0.025014584043718167,0.07494247712941676,1.2897381336368878,positif,0.0069965017491254375,2000,74,0.03874985584131012,True,True
502,pramusaji,5,Tenaga usaha jasa dan penjualan,-0.03723067139348055,0.05816355334366764,-0.09539422473714819,-1.5326375851538212,negatif,0.0024987506246876563,2000,75,0.026986506746626688,True,True
503,barista,5,Tenaga usaha jasa dan penjualan,0.007142074298303509,0.012193050769298022,-0.005050976470994513,-0.08558390086798968,negatif,0.8705647176411794,2000,76,0.8828261925375339,False,False
504,penata rambut,5,Tenaga usaha jasa dan penjualan,0.0162895115038642,-0.03042586197348771,0.04671537347735191,0.8101736712968196,positif,0.11244377811094453,2000,77,0.2313129149710859,False,False
505,agen perjalanan,5,Tenaga usaha jasa dan penjualan,-0.001658829968897638,0.03253105530897447,-0.034189885277872104,-0.6926022558307743,negatif,0.18340829585207397,2000,78,0.3079390537289495,False,False
506,tenaga penjualan,5,Tenaga usaha jasa dan penjualan,0.020689062514873083,0.02621613110927457,-0.005527068594401486,-0.10654686737052824,negatif,0.8375812093953023,2000,79,0.8739977837168372,False,False
507,petugas layanan pelanggan,5,Tenaga usaha jasa dan penjualan,0.039028573988967655,-0.010373498462494378,0.04940207245146203,0.8302819436298751,positif,0.09045477261369315,2000,80,0.20914542728635685,False,False
508,pelayan toko,5,Tenaga usaha jasa dan penjualan,0.0607037902340018,-0.027078378610920616,0.08778216884492242,1.292875739424004,positif,0.0004997501249375312,2000,81,0.007196401799100449,True,True
601,petani tanaman pangan,6,Pekerja terampil pertanian dan perikanan,-0.03514458517949134,0.028907604019927133,-0.06405218919941846,-1.1974634412639908,negatif,0.014492753623188406,2000,82,0.05491990846681922,True,False
602,pekebun hortikultura,6,Pekerja terampil pertanian dan perikanan,0.005208612336651679,0.01400850194519164,-0.00879988960853996,-0.21117691896173663,negatif,0.6861569215392304,2000,83,0.7485348234973422,False,False
603,peternak sapi,6,Pekerja terampil pertanian dan perikanan,-0.044197348963740224,0.06482456313466578,-0.109021912098406,-1.3846340988243486,negatif,0.0034982508745627187,2000,84,0.02798600699650175,True,True
604,peternak unggas,6,Pekerja terampil pertanian dan perikanan,-0.03474534808539101,0.05278723546760765,-0.08753258355299866,-1.2734056598879773,negatif,0.0029985007496251873,2000,85,0.026986506746626688,True,True
605,nelayan tangkap,6,Pekerja terampil pertanian dan perikanan,0.03861836981496726,0.004961763064824877,0.033656606750142384,0.8542974818067282,positif,0.08045977011494253,2000,86,0.19310344827586207,False,False
606,pembudidaya ikan,6,Pekerja terampil pertanian dan perikanan,0.02155793829947309,-0.007548075657625705,0.029106013957098796,0.49752464249303596,positif,0.33383308345827084,2000,87,0.4712937648822647,False,False
607,penyadap karet,6,Pekerja terampil pertanian dan perikanan,-0.026310802169183058,0.033950263196529815,-0.06026106536571287,-0.8337306816744166,negatif,0.10094952523738131,2000,88,0.22025350960883194,False,False
608,pekerja kebun,6,Pekerja terampil pertanian dan perikanan,0.020198811848604673,-0.05945626660221026,0.07965507845081493,1.136677716025029,positif,0.01249375312343828,2000,89,0.05491990846681922,True,False
701,tukang kayu,7,Pekerja pengolahan dan kerajinan,-0.01021221028654147,0.004045867611959342,-0.014258077898500813,-0.28648860643228363,negatif,0.5722138930534733,2000,90,0.6645064564491947,False,False
702,tukang batu,7,Pekerja pengolahan dan kerajinan,0.010118779498364922,-0.00038823477097524144,0.010507014269340163,0.2358370917541696,positif,0.6506746626686657,2000,91,0.7207473186483682,False,False
703,penjahit,7,Pekerja pengolahan dan kerajinan,-0.029029791373389312,-0.0004259656153984947,-0.028603825757990815,-0.5631900449961127,negatif,0.27386306846576713,2000,92,0.41953491339436666,False,False
704,pembuat roti,7,Pekerja pengolahan dan kerajinan,-0.03661179924935833,-0.010368219359154529,-0.026243579890203803,-0.5902254061784679,negatif,0.2448775612193903,2000,93,0.38328661756078486,False,False
705,pengrajin mebel,7,Pekerja pengolahan dan kerajinan,0.02109799089820521,0.05456489488240298,-0.03346690398419777,-0.5125815999865113,negatif,0.3173413293353323,2000,94,0.4712937648822647,False,False
706,tukang las,7,Pekerja pengolahan dan kerajinan,0.007242972016983668,0.026645434983787283,-0.019402462966803615,-0.3439501377897001,negatif,0.5102448775612194,2000,95,0.6334074342139275,False,False
707,pengrajin keramik,7,Pekerja pengolahan dan kerajinan,0.005106958066450926,0.022747836579675444,-0.017640878513224517,-0.2557964706589346,negatif,0.6351824087956022,2000,96,0.7145802098950524,False,False
708,perajin anyaman,7,Pekerja pengolahan dan kerajinan,-0.03039358485280121,0.029526110096263773,-0.05991969494906498,-1.1597018544953233,negatif,0.013993003498250875,2000,97,0.05491990846681922,True,False
801,operator mesin,8,Operator dan perakit mesin,0.006287196310071712,0.0022535926191331324,0.00403360369093858,0.08600112701972966,positif,0.863568215892054,2000,98,0.8828261925375339,False,False
802,operator forklift,8,Operator dan perakit mesin,-0.016410572142974943,0.006233570903137246,-0.02264414304611219,-0.5113009409700973,negatif,0.33233383308345826,2000,99,0.4712937648822647,False,False
803,pengemudi truk,8,Operator dan perakit mesin,0.03754052354518614,-0.026246788714553087,0.06378731225973923,0.998945538486448,positif,0.04297851074462768,2000,100,0.12377811094452773,True,False
804,pengemudi bus,8,Operator dan perakit mesin,0.03626879558798358,-0.03880005016393891,0.07506884575192249,1.0505934373861907,positif,0.026486756621689155,2000,101,0.08291506420702693,True,False
805,masinis,8,Operator dan perakit mesin,0.008759182302961788,0.05531509185881176,-0.04655590955584997,-1.148264804889841,negatif,0.014492753623188406,2000,102,0.05491990846681922,True,False
806,operator pabrik,8,Operator dan perakit mesin,-0.06147203905230432,0.024620940723506388,-0.08609297977581071,-1.2557896150098844,negatif,0.00849575212393803,2000,103,0.040779610194902546,True,True
807,perakit elektronik,8,Operator dan perakit mesin,0.0016056047861770758,-0.014331901989755444,0.01593750677593252,0.2947898303451525,positif,0.5612193903048476,2000,104,0.6645064564491947,False,False
808,operator alat berat,8,Operator dan perakit mesin,-0.00639975336950457,-0.018122207984241405,0.011722454614736835,0.31284004946983224,positif,0.5702148925537232,2000,105,0.6645064564491947,False,False
901,petugas kebersihan,9,Pekerjaan elementer,0.018085042011026148,-0.05507976588893916,0.07316480789996531,1.2773726976275002,positif,0.005497251374312844,2000,106,0.03298350824587706,True,True
902,pekerja rumah tangga,9,Pekerjaan elementer,-0.015603951691750549,-0.0010265851444678127,-0.014577366547282736,-0.3396309150744701,negatif,0.5082458770614693,2000,107,0.6334074342139275,False,False
903,buruh angkut,9,Pekerjaan elementer,0.026467505979805746,-0.039207248101038886,0.06567475408084464,1.0035135737027143,positif,0.03948025987006497,2000,108,0.1184407796101949,True,False
904,penjaga malam,9,Pekerjaan elementer,0.01650677087768985,-0.10024308056836696,0.11674985144605682,1.5316429544695516,positif,0.0004997501249375312,2000,109,0.007196401799100449,True,True
905,pemulung,9,Pekerjaan elementer,-0.04270793070434464,0.07819995939977219,-0.12090789010411683,-1.6470915077480717,negatif,0.0004997501249375312,2000,110,0.007196401799100449,True,True
906,pencuci kendaraan,9,Pekerjaan elementer,0.007874763202646105,-0.005859027728709955,0.013733790931356061,0.2723981844501276,positif,0.5837081459270365,2000,111,0.6670950239166131,False,False
907,pekerja bongkar muat,9,Pekerjaan elementer,0.027506519210894222,0.004166959480019206,0.023339559730875016,0.42695728782651515,positif,0.40379810094952523,2000,112,0.530571078097315,False,False
908,pembantu umum,9,Pekerjaan elementer,-0.013480775628252216,0.007907813689746622,-0.02138858931799884,-0.4852688139438589,negatif,0.36681659170414793,2000,113,0.5078998962057433,False,False
